               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.024975,           0.0094341,           0.0057828,             0.99449,             0.99813,             0.99496,             0.81693,            0.012858,           0.0041302,           0.0014776,           0.0091681,           0.0091681,           0.0091681
                  61,            0.026086,           0.0091197,           0.0060356,             0.99561,                   1,               0.995,             0.81401,            0.012672,           0.0041283,           0.0015466,           0.0091406,           0.0091406,           0.0091406
                  62,            0.025154,           0.0091905,           0.0056227,             0.99706,                   1,             0.99498,             0.80241,            0.012631,           0.0041828,           0.0014245,           0.0091127,           0.0091127,           0.0091127
                  63,            0.025256,           0.0098138,           0.0056017,             0.99269,             0.99635,               0.995,             0.79111,            0.013579,           0.0043308,           0.0013892,           0.0090844,           0.0090844,           0.0090844
                  64,            0.024574,            0.008911,           0.0056216,             0.99703,             0.99999,             0.99498,             0.82407,            0.012661,            0.004073,           0.0014386,           0.0090557,           0.0090557,           0.0090557
                  65,            0.026091,           0.0090748,           0.0054246,              0.9968,             0.96572,             0.98714,             0.76069,            0.014432,           0.0051994,            0.001979,           0.0090266,           0.0090266,           0.0090266
                  66,            0.024225,            0.009227,           0.0059762,             0.98457,             0.98249,             0.99344,             0.79063,            0.013224,           0.0046482,           0.0016687,           0.0089972,           0.0089972,           0.0089972
                  67,            0.023969,           0.0088574,           0.0052511,             0.99141,             0.99878,             0.99491,             0.81396,             0.01309,           0.0042034,           0.0012819,           0.0089673,           0.0089673,           0.0089673
                  68,            0.023294,           0.0087754,           0.0048815,             0.99212,             0.99878,             0.99492,             0.82157,             0.01252,           0.0041336,           0.0012208,           0.0089371,           0.0089371,           0.0089371
                  69,            0.024398,           0.0088886,           0.0059435,             0.99678,             0.99562,             0.99485,             0.81902,              0.0122,           0.0041089,           0.0014864,           0.0089065,           0.0089065,           0.0089065
