               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.014012,           0.0029099,           0.0025755,             0.97091,             0.99828,             0.98891,             0.77297,           0.0038086,           0.0010168,          0.00046467,           0.0022689,           0.0022689,           0.0022689
                 119,            0.013295,           0.0029704,           0.0023707,             0.97172,             0.99806,             0.98931,             0.76861,           0.0038686,           0.0010249,          0.00046317,            0.002255,            0.002255,            0.002255
                 120,            0.013911,           0.0029946,           0.0023502,             0.97783,             0.99104,             0.98977,             0.78136,           0.0036683,           0.0010116,          0.00045762,           0.0022411,           0.0022411,           0.0022411
                 121,            0.013736,           0.0028561,           0.0023066,             0.96836,             0.99547,             0.98852,             0.76087,           0.0039463,           0.0010443,          0.00044472,           0.0022271,           0.0022271,           0.0022271
                 122,            0.014333,           0.0029832,           0.0025719,             0.97018,             0.99612,             0.98874,             0.74298,           0.0042694,           0.0010039,           0.0004748,            0.002213,            0.002213,            0.002213
                 123,            0.013129,            0.002839,           0.0022245,             0.97174,              0.9939,             0.99056,             0.77292,            0.003875,           0.0010146,          0.00047787,            0.002199,            0.002199,            0.002199
                 124,            0.013311,           0.0027699,           0.0020769,              0.9688,             0.99826,             0.98911,             0.77433,           0.0038651,           0.0010012,          0.00046366,           0.0021848,           0.0021848,           0.0021848
                 125,            0.013736,           0.0028624,           0.0021944,             0.97428,             0.99394,             0.98942,             0.77279,           0.0038386,          0.00099853,           0.0004325,           0.0021706,           0.0021706,           0.0021706
                 126,            0.013221,           0.0028066,           0.0023566,             0.97271,             0.99625,             0.98984,              0.7811,            0.003787,          0.00098916,          0.00042679,           0.0021564,           0.0021564,           0.0021564
                 127,            0.012979,           0.0028193,           0.0020668,             0.97666,             0.99756,             0.99089,             0.78889,           0.0036513,          0.00098512,          0.00041109,           0.0021422,           0.0021422,           0.0021422
                 128,            0.013347,           0.0029268,           0.0021934,              0.9749,             0.99458,             0.98999,             0.79136,           0.0036581,          0.00097591,          0.00040537,           0.0021279,           0.0021279,           0.0021279
                 129,             0.01415,            0.002841,           0.0025001,             0.97463,             0.99372,             0.98897,             0.79218,           0.0036386,          0.00097511,          0.00039686,           0.0021135,           0.0021135,           0.0021135
                 130,            0.013508,           0.0027202,           0.0021558,              0.9742,             0.99387,             0.98922,             0.77381,           0.0038729,          0.00098466,          0.00040549,           0.0020991,           0.0020991,           0.0020991
